InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,CustomerName,Email,Address,PhoneNumber,Category,Supplier,StockLevel,Discount,SaleChannel,ReturnStatus,ProductWeight,ProductDimensions,ShippingCost,SalesRegion,PromotionCode,PaymentMethod,FrequentCustomer,FrequentCountry,FrequentEmail,FrequentPhone
536472,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 10:42,1.85,14370,Denmark,Alice Brown,alice.brown@mail.com,256 Oak St,555-412-6954,Clothing,Supplier C,283,21.62,Online,Not Returned,3.91,20x86x92 cm,5.5,Australia,DISCOUNT5,Credit Card,Alice Brown,Denmark,alice.brown@mail.com,555-121-5569
536495,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/01/2010 11:05,6.95,14370,Denmark,Alice Brown,alice.brown@demo.net,390 Broadway,555-246-4124,Home & Garden,Supplier A,376,38.98,Online,Returned,5.44,4x93x86 cm,6.56,Australia,SALE15,PayPal,Alice Brown,Denmark,alice.brown@mail.com,555-121-5569
536375,22960,JAM MAKING SET WITH JARS,6,12/01/2010 09:05,4.25,14370,Denmark,Alice Brown,alice.brown@mail.com,253 High St,555-663-6690,Home & Garden,Supplier A,815,37.48,In-Store,Not Returned,6.46,21x80x85 cm,5.15,South America,PROMO10,Bank Transfer,Alice Brown,Denmark,alice.brown@mail.com,555-121-5569
536621,22634,BAKING SET 9 PIECE RETROSPOT,6,12/01/2010 13:11,4.95,14370,Denmark,Alice Brown,alice.brown@mail.com,256 Oak St,555-121-5569,Home & Garden,Supplier A,289,31.59,Online,Not Returned,5.73,39x46x29 cm,5.46,Asia,PROMO10,Gift Card,Alice Brown,Denmark,alice.brown@mail.com,555-121-5569
536375,22960,JAM MAKING SET WITH JARS,6,12/01/2010 09:05,4.25,14370,United Kingdom,Grace Wilson,grace.wilson@example.com,253 High St,555-822-1661,Home & Garden,Supplier A,435,35.36,In-Store,Not Returned,6.46,21x80x85 cm,5.15,South America,PROMO10,Bank Transfer,Alice Brown,Denmark,alice.brown@mail.com,555-121-5569
536384,22570,RED GLASS CANDLE HOLDER STAR,6,12/01/2010 09:14,295.0,12765,Denmark,Alice Davis,alice.davis@mail.com,253 High St,555-285-5732,Home & Garden,Supplier A,806,43.58,Online,Not Returned,9.51,94x75x62 cm,7.62,Asia,DISCOUNT5,Bank Transfer,Alice Davis,United Kingdom,alice.davis@mail.com,555-101-7368
536384,22570,RED GLASS CANDLE HOLDER STAR,6,12/01/2010 09:14,2.95,12765,United Kingdom,Jane Smith,jane.smith@mail.com,883 Elm St,555-101-7368,Home & Garden,Supplier A,804,4.28,In-Store,Not Returned,9.51,94x75x62 cm,7.62,Asia,DISCOUNT5,Bank Transfer,Alice Davis,United Kingdom,alice.davis@mail.com,555-101-7368
536588,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,-20,12/01/2010 12:38,2.95,12765,United Kingdom,Alice Davis,alice.davis@mail.com,709 Pine St,555-433-1001,Clothing,Supplier C,923,5.21,In-Store,Not Returned,1.31,45x17x26 cm,6.22,Australia,PROMO10,Cash,Alice Davis,United Kingdom,alice.davis@mail.com,555-101-7368
536467,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/01/2010 10:37,3.39,12743,United Kingdom,Alice Johnson,alice.johnson@test.org,256 Oak St,555-656-5286,Beauty,Supplier D,798,28.26,In-Store,Not Returned,5.6,5x3x53 cm,5.72,South America,PROMO10,PayPal,Alice Johnson,United Kingdom,alice.johnson@example.com,555-656-5286
536388,22745,POPPYS PLAYHOUSE BEDROOM,6,12/01/2010 09:18,2.1,12743,Denmark,Alice Johnson,alice.johnson@mail.com,594 Market St,555-927-5473,Toys,Supplier B,78,27.54,In-Store,Returned,7.58,5x12x90 cm,6.43,South America,DISCOUNT5,Credit Card,Alice Johnson,United Kingdom,alice.johnson@example.com,555-656-5286
536608,22112,CHOCOLATE HOT WATER BOTTLE,10,12/01/2010 12:58,3.39,12743,United Kingdom,Alice Johnson,alice.johnson@example.com,256 Oak St,555-916-9056,Beauty,Supplier D,759,49.24,In-Store,Not Returned,0.4,1x3x77 cm,14.16,Australia,DISCOUNT5,Credit Card,Alice Johnson,United Kingdom,alice.johnson@example.com,555-656-5286
536731,21730,GLASS STAR FROSTED TLIGHT HOLDER,6,12/01/2010 15:01,,17236,Denmark,Alice Jones,alice.jones@example.com,253 High St,555-375-3740,Home & Garden,Supplier A,95,11.58,Online,Returned,1.83,47x68x76 cm,6.44,Europe,SALE15,PayPal,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536395,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/01/2010 09:25,2.95,17236,United Kingdom,Alice Jones,alice.jones@mail.com,921 Cedar St,555-880-1362,Clothing,Supplier C,813,0.99,Online,Not Returned,1.31,45x17x26 cm,6.22,Australia,PROMO10,Cash,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536487,21724,RED HARMONICA IN BOX,10,12/01/2010 10:57,1.25,17236,United Kingdom,Alice Jones,alice.jones@test.org,450 Ash St,555-643-7154,Toys,Supplier B,98,43.61,Online,Not Returned,9.06,2x88x72 cm,5.35,North America,PROMO10,Gift Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,21754,HOME BUILDING BLOCK WORD,3,12/01/2010 08:34,5.95,17236,Germany,John Smith,john.smith@example.com,883 Elm St,555-403-9125,Home & Garden,Supplier A,548,1.97,Online,Returned,3.02,57x67x88 cm,7.51,Australia,SALE15,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,22310,IVORY KNITTED MUG COSY,6,12/01/2010 08:34,1.65,17236,Germany,David Moore,david.moore@test.org,815 Maple St,555-369-6724,Home & Garden,Supplier A,823,32.94,Online,Returned,3.46,38x51x63 cm,6.97,Australia,DISCOUNT5,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536370,21724,RED HARMONICA IN BOX,10,12/01/2010 09:00,1.25,17236,Denmark,Jane Brown,jane.brown@example.com,253 High St,555-197-5150,Toys,Supplier B,130,39.74,In-Store,Not Returned,9.06,2x88x72 cm,5.35,Europe,PROMO10,Bank Transfer,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536568,84029E,RED WOOLLY HOTTIE WHITE HEART,6,12/01/2010 12:18,3.39,17236,Denmark,Alice Jones,alice.jones@mail.com,547 Main St,555-349-6631,Beauty,Supplier D,550,30.67,In-Store,Not Returned,6.41,5x33x65 cm,5.87,North America,DISCOUNT5,Gift Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
